Public Food Key,Food Profile ID,Derivation,Name,Description,Scientific Name,Sampling details,Classification ID,"Energy, with dietary fibre (in kJ)","Energy, without dietary fibre (in kJ)",Moisture (water) (in g),Protein (in g),Nitrogen (in g),Total Fat (in g),Ash (in g),Total dietary fibre (in g),Alcohol (in g),Fructose (in g),Glucose (in g),Sucrose (in g),Maltose (in g),Lactose (in g),Galactose (in g),Maltotriose (in g),Total sugars (in g),Added sugars (in g),Free sugars (in g),Starch (in g),Dextrin (in g),Glycerol (in g),Glycogen (in g),Inulin (in g),Mannitol (in g),Maltodextrin (in g),Oligosaccharides (in g),Raffinose (in g),Stachyose (in g),Sorbitol (in g),Resistant starch (in g),"Available carbohydrate, without sugar alcohols (in g)","Available carbohydrate, with sugar alcohols (in g)",Acetic acid (in g),Citric acid (in g),Fumaric acid (in g),Lactic acid (in g),Malic acid (in g),Oxalic acid (in g),Propionic acid (in g),Quinic acid (in g),Succinic acid (in g),Tartaric acid (in g),Aluminium (Al) (in ug),Antimony (Sb) (in ug),Arsenic (As) (in ug),Cadmium (Cd) (in ug),Calcium (Ca) (in mg),Chromium (Cr) (in ug),Chloride (Cl) (in mg),Cobalt (Co) (in ug),Copper (Cu) (in mg),Fluoride (F) (in ug),Iodine (I) (in ug),Iron (Fe) (in mg),Lead (Pb) (in ug),Magnesium (Mg) (in mg),Manganese (Mn) (in mg),Mercury (Hg) (in ug),Molybdenum (Mo) (in ug),Nickel (Ni) (in ug),Phosphorus (P) (in mg),Potassium (K) (in mg),Selenium (Se) (in ug),Sodium (Na) (in mg),Sulphur (S) (in mg),Tin (Sn) (in ug),Zinc (Zn) (in mg),Retinol (preformed vitamin A) (in ug),Alpha-carotene (in ug),Beta-carotene (in ug),Cryptoxanthin (in ug),Beta-carotene equivalents (provitamin A) (in ug),Vitamin A retinol equivalents (in ug),Lutein (in ug),Lycopene (in ug),Xanthophyl (in ug),Thiamin (B1) (in mg),Riboflavin (B2) (in mg),Niacin (B3) (in mg),Niacin derived from tryptophan (in mg),Niacin derived equivalents (in mg),Pantothenic acid (B5) (in mg),Pyridoxine (B6) (in mg),Biotin (B7) (in ug),Cobalamin (B12) (in ug),"Folate, natural (in ug)",Folic acid (in ug),Total folates (in ug),Dietary folate equivalents (in ug),Vitamin C (in mg),Cholecalciferol (D3) (in ug),Ergocalciferol (D2) (in ug),25-hydroxy cholecalciferol (25-OH D3 (in ug),25-hydroxy ergocalciferol (25-OH D2) (in ug),Vitamin D3 equivalents (in ug),Alpha tocopherol (in mg),Alpha tocotrienol (in mg),Beta tocopherol (in mg),Beta tocotrienol (in mg),Delta tocopherol (in mg),Delta tocotrienol (in mg),Gamma tocopherol (in mg),Gamma tocotrienol (in mg),Vitamin E (in mg),C4 (in %),C4 (in g),C6 (in %),C6 (in g),C8 (in %),C8 (in g),C10 (in %),C10 (in g),C11 (in %),C11 (in g),C12 (in %),C12 (in g),C13 (in %),C13 (in g),C14 (in %),C14 (in g),C15 (in %),C15 (in g),C16 (in %),C16 (in g),C17 (in %),C17 (in g),C18 (in %),C18 (in g),C19 (in %),C19 (in g),C20 (in %),C20 (in g),C21 (in %),C21 (in g),C22 (in %),C22 (in g),C23 (in %),C23 (in g),C24 (in %),C24 (in g),Total saturated fatty acids (in %),Total saturated fatty acids (in g),C12:1 (in %),C12:1 (in g),C14:1 (in %),C14:1 (in g),C15:1 (in %),C15:1 (in g),C16:1 (in %),C16:1 (in g),C17:1 (in %),C17:1 (in g),C18:1 (in %),C18:1 (in g),C20:1 (in %),C20:1 (in g),C22:1 (in %),C22:1 (in g),C24:1 (in %),C24:1 (in g),Total monounsaturated fatty acids (in %),Total monounsaturated fatty acids (in g),C16:2w4 (in %),C16:2w4 (in mg),C16:3 (in %),C16:3 (in g),C18:2w6 (in %),C18:2w6 (in g),C18:3w3 (in %),C18:3w3 (in g),C18:3w4 (in %),C18:3w4 (in g),C18:3w6 (in %),C18:3w6 (in mg),C18:4w1 (in %),C18:4w1 (in g),C18:4w3 (in %),C18:4w3 (in mg),C20:2w6 (in %),C20:2w6 (in mg),C20:3w3 (in %),C20:3w3 (in mg),C20:3w6 (in %),C20:3w6 (in mg),C20:4w3 (in %),C20:4w3 (in mg),C20:4w6 (in %),C20:4w6 (in mg),C20:5w3 (in %),C20:5w3 (in mg),C22:2w6 (in %),C22:2w6 (in mg),C22:4w6 (in %),C22:4w6 (in mg),C22:5w3 (in %),C22:5w3 (in mg),C22:5w6 (in %),C22:5w6 (in g),C22:6w3 (in %),C22:6w3 (in mg),Other polyunsaturated fatty acids (in %),Other polyunsaturated fatty acids (in g),Total polyunsaturated fatty acids (in %),Total polyunsaturated fatty acids (in g),Total long chain omega 3 fatty acids (in %),Total long chain omega 3 fatty acids (in mg),Total undifferentiated fatty acids (in %),Total undifferentiated fatty acids (in mg),Total trans fatty acids (in %),Total trans fatty acids (in mg),Caffeine (in mg),Cholesterol (in mg),Tryptophan (in mg/g N),Tryptophan (in mg),Alanine (in mg/g N),Alanine (in mg),Arginine (in mg/g N),Arginine (in mg),Aspartic acid (in mg/g N),Aspartic acid (in mg),Cystine plus cysteine (in mg/g N),Cystine plus cysteine (in mg),Glutamic acid (in mg/g N),Glutamic acid (in mg),Glycine (in mg/g N),Glycine (in mg),Histidine (in mg/g N),Histidine (in mg),Isoleucine (in mg/g N),Isoleucine (in mg),Leucine (in mg/g N),Leucine (in mg),Lysine (in mg/g N),Lysine (in mg),Methionine (in mg/g N),Methionine (in mg),Phenylalanine (in mg/g N),Phenylalanine (in mg),Proline (in mg/g N),Proline (in mg),Serine (in mg/g N),Serine (in mg),Threonine (in mg/g N),Threonine (in mg),Tyrosine (in mg/g N),Tyrosine (in mg),Valine (in mg/g N),Valine (in mg),Product ID,Category ID,Health Star Rating
F008056,10526,Analysed,"Sauce, salsa, tomato-based, commercial","Commercially prepared Mexican style, tomato based dip. Typical ingredients include tomato, onion, capsicum, jalapenos, salt and chilli.",,"The majority of nutrient data were derived from a composite of 8 samples of salsa (Old El Paso, Tostitos, Masterfoods and CCs) purchased in Adelaide in January 1996. Folate and iodine were borrowed from NZ FOODfiles 2014, S1002 - Dip, salsa, tomato based. Alcohol, caffeine, vitamins (B12, folic acid, retinol, D), tryptophan, trans fat and cholesterol were imputed zero.",23104,146,133,89.5,1.3,0.21,0.0,2.0,1.6,0.0,2.2,2.2,0.5,0.0,0.0,,,4.9,0.0,0.0,1.4,,,,,,,,,,,,6.3,6.3,,0.5,,0.0,0.3,,,0.0,,,,,,,36,,850.0,,0.1,0.0,1.0,0.61,,15,0.1,,,,26,270,0.0,480,,,0.17,0,0.0,180,,180,30,,,,0.05,0.0,0.8,0.0,0.8,0.0,0.09,1.8,0.0,36,0,36,36,8,0.0,0,0.0,0,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2,3.0
F008083,10532,Analysed,"Sauce, tomato, commercial","Commercially prepared sauce with a thick consistency. Contains tomatoes, sugar, salt, food acid and spices.",,"The majority of nutrient data were derived from a composite of 8 samples of tomato sauce (3x Masterfoods, 2x Fountain, 2x Coles and 1x Heinz Big Red) purchased in ACT, QLD, VIC, SA and WA in 2014. Minerals were also determined a composite of 3 brands of tomato sauce (1x Masterfoods, 1x Fountain and 1x Heinz big red) purchased in 2010 and in tomato sauce purchased in 3 states in 2004. Caffeine, folic acid, vitamin D and alcohol were imputed zero.",23104,437,426,69.7,1.3,0.21,0.0,2.5,1.3,0.0,4.3,4.4,15.0,0.0,0.0,,,23.7,21.5,21.5,0.4,,,,,,,,,,,,24.1,24.1,1.0,0.4,,0.0,0.0,0.0,,0.0,,,470.0,,0.0,1.4,13,2.9,1400.0,,0.071,9.0,4.6,0.65,0.0,14,0.11599999999999999,0.0,3.7,58.0,27,292,0.0,870,16.0,0.0,0.15,0,0.0,240,0.0,240,40,,6800.0,,0.03,0.0,0.0,0.102,0.1,0.0,0.0,4.5,0.0,16,0,16,16,0,0.0,0,0.0,0,0.0,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,29.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2,2.5
F008085,10533,Label Data,"Sauce, tomato, commercial, reduced salt","Commercially prepared sauce with a thick consistency formulated to have less added salt than regular commercial tomato sauce. Contains tomatoes, sugar, salt, food acid and spices.",,"The majority of nutrient data were imputed from regular tomato sauce. Na is based on label information for Masterfoods reduced salt tomato sauce available in 2017. Alcohol, caffeine, cholesterol and vitamins (folic acid, retinol, B12, D) were imputed zero.",23104,437,426,70.2,1.3,0.21,0.0,2.5,1.3,0.0,4.3,4.4,15.0,0.0,0.0,,,23.7,21.5,21.5,0.4,,,,,,,,,,,,24.1,24.1,1.0,0.4,,0.0,0.0,,,0.0,,,470.0,,0.0,1.2,12,3.1,,,0.065,,3.1,0.62,0.0,14,0.11,,3.0,,27,270,0.0,529,,,0.14,0,0.0,240,0.0,240,40,,6800.0,,0.03,0.0,0.0,0.102,0.1,0.0,0.0,,0.0,16,0,16,16,0,0.0,0,0.0,0,0.0,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,29.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2,3.0
F008090,10536,Recipe,"Sauce, white, savoury, homemade","Home prepared creamy style sauce made in the home from  butter, white wheat flour and milk.",,These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,23108,756,754,71.4,4.0,0.64,13.5,0.9,0.2,0.0,0.0,0.0,0.1,0.1,,,,5.5,0.0,0.0,5.7,,,,,,,,,,,,11.3,11.3,,,,,,,,,,,5.2,,0.2,0.0,98,1.4,,,0.02,,20.7,0.12,0.0,12,0.10800000000000001,,5.0,,92,143,2.3,130,,,0.38,107,,27,,27,111,,,,0.018000000000000002,0.188,0.39,0.8330000000000001,1.23,0.36,0.06,,0.5,12,0,12,12,0,0.1,0,0.0,0,0.09,0.3,,,,,,,,0.29,,0.19,,0.19,,0.13,,0.37,,,,0.4,,,,1.59,,0.16,,4.17,,0.08,,1.43,,,,0.01,,,,0.0,,,,0.0,,8.74,,,,,,,,,,,,,,,,,,,,2.84,,,,,,0.23,,0.07,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,3.4,,1.94,,0.0,,0.0,,12.03,,,,0.0,,,,0.31,,13.968,,,,707.42,0,30,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5
F009498,11089,Analysed,Vinegar (except balsamic vinegar),"Sour liquid prepared by acetous fermentation, with or without alcoholic fermentation, of any suitable foodstuff, commonly used in dressings. Available types of vinegar include white, brown and malt.",,"The majority of nutrient data were derived from a composite of 6 samples of white, brown and malt vinegar (2x Cornwells, 2x Seppelts, 1x Woolworths, 1x Home Brand) purchased in Adelaide in 1990. Vitamins (alpha-tocopherol, beta-carotene, B6, folate) were borrowed from USDA SR28, 02053 - Vinegar, distilled. Iodine was borrowed from NZ FOODfiles 2014, P11 - Vinegar. Caffeine, Vitamins (folic acid, retinol, C, D, remaining B vitamins), tryptophan, proximates (starch, sugars, fibre, alcohol), fatty acids and cholesterol were imputed zero.",23305,65,65,95.5,0.1,0.01,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,4.3,,,,,,,,,,,,,,1,,20.0,,0.0,24.0,0.2,0.0,,1,0.0,,,,5,6,0.0,5,1.0,,0.0,0,,0,,0,0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.0
F006577,11359,Analysed,"Peanut butter, smooth & crunchy, added sugar & salt","Commercial paste made from roasted and ground peanuts. Available in two types with (crunchy) and without (smooth) chunks of peanuts. Contains vegetable oil, added sugar and salt.",,"Proximates, vitamins and fatty acids were from either composite or individual analyses of 4 samples of smooth and crunchy peanut butter with added sugar and salt (2x Kraft, 2x Dick Smith) purchased nationally across the summer and winter months of 2008. Na, I, fat and fatty acids were also derived from 3 individual samples of peanut butter (1x Dick Smith, 1x Sanitarium and 1x Kraft) purchased in NSW in 2009. Fat and fatty acids were also derived from 6 samples of smooth and crunchy peanut butter (1x Coles, 1x Bramwells, 1x Black and Gold, 1x Sanitarium and 1x Kraft) purchased in NSW and VIC in 2013. Minerals were also derived from a composite of 3 samples of peanut butter (1x Kraft, 1x Sanitarium and 1x Homebrand) purchased in 2010. Mg, B2 and B3 were from a composite of 6 samples of smooth and crunchy peanut butter (2x Kraft, 2x ETA and 2x Farmland) purchased from Adelaide supermarkets in 1989. Trace elements and additional minerals were from composites of up to 9 samples of peanut butter purchased nationally during 2002 and 2003. Vitamins (retinol, B12, D), caffeine, alcohol and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",22202,2495,2448,1.5,22.2,4.07,49.6,3.4,5.8,0.0,0.0,0.0,8.4,0.2,0.0,,,8.6,4.8,4.8,5.7,,,,,,,,,,,,14.3,14.3,,,,,,,,,,,,0.1,0.7,6.0,54,0.4,727.0,,0.617,,10.0,1.72,0.0,190,1.825,0.0,126.6,192.0,358,620,13.8,477,,0.1,2.84,0,0.0,0,,0,0,,,,0.105,0.12,15.9,3.366,19.27,0.8,0.12,,0.0,155,0,155,155,6,0.0,0,0.0,0,0.0,7.7,,0.2,,0.2,,6.8,,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.05,0.0,0.0,0.1,0.03,0.0,0.0,9.3,4.4,0.0,0.02,3.5,1.67,0.0,0.0,1.1,0.51,0.0,0.0,2.8,1.33,0.0,0.0,1.5,0.71,18.45,8.75,,,0.0,0.0,0.2,0.09,0.1,0.03,0.0,0.02,66.4,31.5,1.6,0.77,0.1,0.06,0.1,0.02,68.52,32.51,,,,,12.2,5.8,0.2,0.09,,,0.0,3.48,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1,33.69,0.0,0.0,0.0,0.0,0.0,0.0,0.1,47.44,,,0.0,0.0,,,12.59,5.98,0.1,47.445,,,0.3,161.31,0,0,49.0,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2,4.0
F006579,11360,Imputed,"Peanut butter, smooth & crunchy, no added sugar or salt","Commercial paste made from roasted, unsalted and ground peanuts. Available in two types with (crunchy) and with out (smooth) chunks of peanuts. Does not contain added salt or sugar.",,"The majority of proximates, vitamins and fatty acids were derived from 4 purchases of smooth and crunchy peanut butter with added sugar and salt (2x Kraft, 2x Dick Smith) purchased nationally in 2008. Minerals were also derived from a composite of 3 samples of peanut butter (1x Kraft, 1x Sanitarium and 1x Homebrand) purchased in 2010. Fatty acids were also derived from 3 individual samples of peanut butter (1x Kraft, 1x Sanitarium and 1x Dick Smith) purchased in NSW in 2009. Vitamin B2 and Mg were from a composite of 6 purchases of smooth and crunchy peanut butter (2 each x Kraft, ETA and Farmland) purchased from Adelaide supermarkets in 1989. Trace elements and additional minerals were from composites of up to 9 samples of peanut butter purchased nationally during 2000 and 2003. Na and total sugar was obtained from label data. Retinol, cholesterol and D were imputed zero.",22202,2628,2576,1.5,24.3,4.45,54.3,3.4,6.5,0.0,,,,,,,,5.2,0.0,0.0,4.2,,,,,,,,,,,,9.4,9.4,,,,,,,,,,,,0.1,0.7,6.0,54,0.4,42.0,,0.617,,17.5,1.72,0.0,177,1.825,0.0,126.6,192.0,358,632,13.8,12,,0.1,2.84,0,0.0,0,,0,0,,,,0.105,0.12,12.4,3.6719999999999997,16.080000000000002,0.8,0.12,,0.0,155,0,155,155,6,0.0,0,0.0,0,0.0,7.7,,0.2,,0.2,,6.8,,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.2,0.09,0.0,0.0,0.1,0.03,0.0,0.0,9.6,4.98,0.0,0.02,3.3,1.7,0.0,0.0,1.0,0.5,0.0,0.0,2.6,1.34,0.0,0.0,1.4,0.74,18.19,9.44,,,0.0,0.01,0.2,0.1,0.0,0.02,0.0,0.02,70.4,36.54,1.7,0.86,0.1,0.06,0.1,0.04,72.56,37.66,,,,,8.5,4.4,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1,61.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,8.59,4.46,0.0,0.0,,,0.3,176.5,0,0,49.0,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2,4.5
F008783,11111,Analysed,"Spread, yeast, marmite","Commercial thick, dark brown concentrated yeast extract spread. Contains added salt, and vitamins B1, B2 and B3.",,"The majority of nutrient data were from Sanitarium industry data (2008). Other nutrient data were derived from a composite sample of 6 purchases of Sanitarium Marmite in Adelaide in 1990. Folate and folic acid were borrowed from NZ FOODfiles 2014, P1004 - Spread, yeast extract, Marmite, Sanitarium, fortified vitamins B1, B2, B3, B12 & folate, & Fe. Fe was from NZFSA 2005. Note high fibre content which should be used with caution. The analysed nitrogen value was reduced by 10% to account for purine nitrogen. Alpha-tocopherol and iodine were imputed from vegemite. Fatty acids were borrowed from USDA SR28, 18375 - Leavening agents, yeast, baker's, active dry. Vitamins (C, D, retinol), alcohol and caffeine were imputed zero.",31102,623,529,40.9,13.3,2.33,0.9,14.6,11.8,0.0,2.0,1.3,8.5,0.0,0.0,,,11.8,11.8,11.8,4.8,,,,,,,,,,,,16.6,16.6,,,,,,,,,,,,,,,25,,6990.0,,0.25,150.0,8.8,46.3,,71,0.94,,,,500,1950,1.0,3400,210.0,,1.8,0,0.0,0,0.0,0,0,,,,11.0,8.4,50.0,2.4480000000000004,52.45,1.9,0.57,32.0,10.0,100,1500,1600,2605,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.79,0.14,,,,,,,,,,,,,,,,,,,80.89,0.58,,,,,0.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.32,0.0,0.0,0.0,,,0.0,0.0,0,0,62.0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,3.0
F008785,11112,Analysed,"Spread, yeast, vegemite","Commercial, thick dark brown, salty concentrated yeast extract spread made by treating yeast with acid. Contains added salt, and vitamins B1, B2 and B3.",,"The majority of nutrient data were derived from individual and composite samples of 8 purchases of Kraft Vegemite purchased nationally in each state and territory capital city in 2008. Some proximates, vitamins and minerals were also derived from a composite of 5 samples of Kraft vegemite purchased from NSW, VIC, TAS, ACT and WA in 2010. Folate and folic acid were determined in the 5 individual samples from the 2010 analysis. Retinol, vitamin D and cholesterol were imputed zero. Note that sample is likely to contain carbohydrates not detected with analytical techniques used and were represented by an estimated starch value in this profile.",31102,679,627,40.9,24.1,4.23,0.9,14.0,6.5,0.0,0.0,0.0,0.0,1.6,0.0,0.0,,1.6,0.0,1.6,9.3,,,,,,,,,,,,10.9,10.9,0.0,0.0,,0.0,0.0,,,0.0,,,263.3,,14.6,0.5,68,6.4,,,0.251,,8.8,4.03,0.0,130,0.27699999999999997,0.0,46.6,,880,2122,27.0,3000,220.0,,4.26,0,0.0,0,,0,0,,,,22.778000000000002,17.111,124.0,4.4540000000000015,128.46,4.6,0.06,,0.0,100,2354,2454,4031,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.79,0.14,,,,,,,,,,,,,,,,,,,80.89,0.58,,,,,0.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.32,0.0,0.0,0.0,,,0.0,0.0,0,0,62.0,262,372.0,1574.0,210.0,889.0,541.0,2289.0,55.0,233.0,703.0,2974.0,276.0,1168.0,142.0,601.0,289.0,1223.0,398.0,1684.0,418.0,1769.0,76.0,322.0,233.0,986.0,209.0,884.0,296.0,1252.0,293.0,1240.0,191.0,808.0,358.0,1515.0,1.0,2,3.0
F002405,9821,Analysed,"Cheese, blue vein","Prepared by the addition of culture, rennet and mould spores to cows milk to produce green, grey, blue or black spots of mould throughout the body of the cheese. Includes Australian and imported blue cheese.",,"Proximates (except ash), vitamins (except alpha-carotene, C and folate) and minerals (except iodine) were derived from a composite of 5 samples of blue vein cheese (Unity, Kraft, Mainland, Bavarian Blue and English Stilton) from Australia and overseas (New Zealand, Germany and Great Britain) purchased in Sydney in 1988/89. These components were averaged with Australian blue vein cheese data reported by the Australian Dairy Corporation (ADC, 1999). Ash and vitamins (alpha-carotene, cryptoxanthin, C) were determined in the 1988/89 sample only. Iodine was determined in the ADC sample only. Folate was borrowed from the UK 6th edition, 268 - Danish blue. Fatty acid profile is based on soft cheeses (ADC, 1991). Organic acids, trans fat and tryptophan were imputed from cheddar cheese. Vitamins (alpha-tocopherol, B12, B6, folate) and Se were imputed from brie. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Alcohol, caffeine and folic acid were imputed zero.",19401,1571,1571,41.4,20.3,3.18,32.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.1,0.0,,1.6,0.1,,0.0,0.0,,,,,,,510,,,,0.025,,23.0,0.17,,24,0.03,,,,320,88,5.0,1090,,,2.95,314,0.0,140,0.0,140,337,,,,0.038,0.415,0.92,4.760000000000002,5.67,,0.12,,1.3,50,0,50,50,0,0.1,0,0.0,0,0.1,0.8,,,,,,,,0.8,2.6,0.8,1.9,0.58,1.3,0.4,2.6,0.8,,,3.3,1.01,,,10.8,3.31,1.3,0.4,28.4,8.7,0.8,0.24,14.6,4.47,,,0.0,0.0,,,,,,,,,67.6,20.71,,,1.3,0.4,0.0,0.0,1.9,0.58,0.0,0.0,26.3,8.06,,,,,,,29.5,9.04,,,,,1.9,0.58,1.0,0.31,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.1,30.64,,,0.0,0.0,,,3.0,0.92,0.1,30.636999999999997,,,3.1,949.74,0,100,88.0,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,3D,5.0
F002414,9824,Analysed,"Cheese, cheddar, natural, regular fat","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Includes unsliced mild, tasty and vintage varieties.",,"The majority of nutrient data were derived from 2 programs: (1) a composite of 10 samples of unsliced cheddar cheese (4x Coon, 2x Bega, 1x Black & Gold, 1x Devondale, 1x Homebrand, 1x IGA) purchased nationally in 2006; and (2) either individual or composite analyses of 10 samples of unsliced cheddar cheese (2x Mainland, 2x Devondale, 2x Bega, 2x Black & Gold, 1x IGA, 1x Coles) purchased nationally in 2008. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Folate was derived from a composite of 6 samples of cheddar cheese (Mainland, Coon, Bega, Homebrand) purchased in Sydney in 2005. Minerals (Ca, Fe, K, Na, P, I, Se, Zn) were also from samples of cheddar cheese purchased nationally in 2000, 2002 and 2004. Proximates (alcohol, fibre), caffeine and folic acid were imputed zero.",19401,1663,1663,34.0,24.6,3.85,32.8,3.8,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,,0.4,0.0,0.0,0.0,,,,,,,,,,,,0.5,0.5,0.1,0.0,,1.6,0.1,,0.0,0.0,,,116.3,0.0,0.2,0.0,763,6.2,1067.0,,0.034,,24.4,0.14,0.5,27,0.027999999999999997,0.5,8.2,0.0,478,73,16.9,684,,,3.55,159,0.0,87,0.0,87,173,11.0,0.0,,0.017,0.33,1.53,5.763000000000001,7.29,0.16,0.04,,1.9,52,0,52,52,1,0.1,0,0.0,0,0.1,0.4,,0.0,,0.0,,0.0,,0.43,3.2,0.99,2.1,0.66,1.2,0.39,3.1,0.95,0.2,0.05,3.6,1.1,0.0,0.0,12.5,3.86,1.2,0.36,31.5,9.75,0.7,0.22,10.4,3.23,0.1,0.02,0.1,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,69.91,21.65,,,1.0,0.32,0.1,0.03,1.6,0.49,0.2,0.06,21.6,6.7,0.3,0.08,0.0,0.0,0.1,0.03,24.89,7.71,,,,,1.8,0.57,0.9,0.28,,,0.0,0.0,,,1.1,346.8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6.5,0.1,18.58,0.0,0.0,0.0,0.0,0.1,42.58,,,0.0,0.0,,,4.07,1.26,0.198,61.153999999999996,0.0,0.0,3.1,959.89,0,108,88.0,339,206.0,793.0,228.0,878.0,463.0,1782.0,35.0,135.0,1245.0,4792.0,133.0,512.0,219.0,843.0,361.0,1389.0,562.0,2163.0,532.0,2048.0,204.0,785.0,368.0,1416.0,723.0,2783.0,419.0,1613.0,286.0,1101.0,396.0,1524.0,466.0,1794.0,40.0,3D,5.0
