Public Food Key,Food Survey ID,Measure ID,Measure description 1,Measure description 2,Measure description 3,Measure description 4,Weight in grams,Volume in mLs,Derivation,Measure derivation description
F001483,12202,74601,slice,sandwhich,,,23.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001484,12202,74603,slice,sandwhich,,,37.0,0,Imputed,"From AUSNUT 2007 record 02B10297 Bread, from white flour, added omega-3 polyunsaturates"
F001485,12202,74605,slice,sandwhich,,,31.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001543,12202,74607,slice,sandwhich,,,35.0,0,Label Data,Based on product information available for white Jackaroo bread in 2014.
F001544,12202,74608,slice,sandwhich,,,29.0,0,Estimated,Calculated from fresh weight assuming -15% weight change factor
F001528,12201,74613,slice,sandwhich,,,27.0,0,Estimated,Based on the weight of a toast slice
F001529,12201,74615,slice,sandwhich,,,23.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001353,12201,74619,bun or roll,small/dinner roll,,,34.0,0,Analysed, Average of supermarket and bakery varieties available in 2011 as analysed by FSANZ as part of the 2011 student research project.
F001353,12201,74617,bun or roll,medium,,,69.0,0,Analysed,Average of supermarket and bakery varieties available in 2011 as analysed by FSANZ as part of the 2011 Student research project.
F001358,12201,74622,bun or roll,small/dinner roll,,,29.0,0,Analysed,Based on the fresh roll weight with a -14% weight change factor applied
F001358,12201,74621,bun or roll,medium,,,59.0,0,Estimated,Based on the fresh roll weight with a -14% weight change factor applied
F001372,12304,74623,bun or roll,,,,85.0,0,Label Data,Size of a regular Bakers delight cheese topped roll available in 2012.
F001373,12304,74624,bun or roll,,,,85.0,0,Label Data,Size of a regular Bakers delight cheese and bacon topped roll available in 2012.
F001553,12207,74625,slice,sandwhich,,,32.0,0,Estimated,"Weighted mean of 20 brands available in 2013, excluding Helga's"
F001597,12207,74627,slice,sandwhich,,,28.0,0,Estimated,Calculated from fresh weight assuming -15% weight change factor
F001573,12207,74629,slice,sandwhich,,,38.0,0,Label Data,Based on product information available in 2011
F001576,12207,74631,slice,sandwhich,,,32.0,0,Estimated,Calculated from fresh weight assuming -15% weight change factor
F001360,12207,74634,bun or roll,medium,,,69.0,0,Analysed,Average of supermarket and bakery varieties available in 2011 as analysed by FSANZ as part of the 2011 Student research project.
F001360,12207,74633,bun or roll,small/dinner roll,,,35.0,0,Analysed, Average of bakery varieties available in 2011 as analysed by FSANZ as part of the 2011 student research project.
F001364,12207,74635,bun or roll,small/dinner roll,,,30.0,0,Estimated,Based on the fresh roll weight with a -15% weight change factor applied
F001364,12207,74636,bun or roll,medium,,,59.0,0,Estimated,Based on the fresh roll weight with a -15% weight change factor applied
F001545,12203,74637,slice,sandwhich,,,48.0,0,Imputed,"From AUSNUT 2007 record 02B10224 Bread, from white flour, homemade from basic ingredients, regular slice"
F001548,12203,74639,slice,sandwhich,,,44.0,0,Imputed,"From white bread, organic, commercial, toasted"
F001621,12204,74646,slice,sandwhich,,,36.0,0,Estimated,Weighted mean of 24 brands available in 2013
F001644,12204,74648,slice,sandwhich,,,30.0,0,Estimated,Calculated from fresh weight assuming -15% weight change factor
F001513,12204,74609,slice,sandwhich,,,37.0,0,Label Data,Based on products available in 2013
F001514,12204,74611,slice,sandwhich,,,31.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001365,12204,74650,bun or roll,medium,,,70.0,0,Analysed,Average of supermarket and bakery varieties available in 2011 as analysed by FSANZ as part of the 2011 Student research project.
F001368,12204,74651,bun or roll,medium,,,60.0,0,Estimated,Based on the fresh roll weight with a -15% weight change factor applied
F001457,12305,74652,slice,regular,,,34.0,0,Label Data,Average of 2 brands of fruit bread available in 2013
F001458,12305,74654,slice,regular,,,28.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001600,12307,74641,slice,regular,,,36.0,0,Estimated,Based on the average weight of 2 types of garlic bread (Homebrand & La Famiglia) available in 2013
F001603,12213,74642,slice,sandwhich,,,36.0,0,Analysed,FSANZ 2011. Student research project.
F001609,12213,74644,slice,sandwhich,,,30.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001450,12210,74583,slice,sandwhich,,,40.0,0,Analysed,FSANZ 2011 Student research project.
F001451,12210,74585,slice,sandwhich,,,28.0,0,Imputed,Calculated from fresh weight assuming -15% weight change factor
F001939,12306,74656,bun,,,finger bun,85.0,0,Label Data,Based on product information available on the Bakers Delight website in 2018
F003313,13606,74657,crumpet,round,,,42.0,0,Label Data,Average of brands Golden and Mighty Soft available in 2012
F005896,12301,74658,muffin,2 halves,,not further defined,76.0,0,Label Data,"Average of major brands Tip Top, Wonder White, Mighty Soft"
F005898,12301,74659,muffin,2 halves,,not further defined,67.0,0,Label Data,"Average of major brands Tip Top, Wonder White, Mighty Soft"
F005897,12301,74660,muffin,2 halves,,not further defined,70.0,0,Label Data,"Average of major brands Tip Top, Wonder White, Mighty Soft"
F001688,11805,74661,tetra pack,,,,258.0,250,Label Data,Size of Sanitarium up and go available in 2012. Volume multiplied by the density to determine the gram amount.
F001374,13303,74662,slice,regular & thick,,,140.0,0,Analysed,Manual weighing of 6 commercial banana breads by FSANZ in 2012.
F002159,13302,74663,lamington,regular square,,,125.0,0,Imputed,"From AUSNUT  2007 record 02E10298 Cake, lamington, unfilled"
F002168,13303,74665,cupcake,mini,,,20.0,0,Analysed,Manual weighing of commercial mini cupcakes by FSANZ in 2012.
F002168,13303,74664,cupcake,medium,,,165.0,0,Analysed,Manual weighing by FSANZ in 2011.
F003575,13605,74666,doughnut,round,regular,all brands,97.0,0,Estimated,Average label information for commercial products available in 2012
F003573,13605,74667,doughnut,round,regular,all brands,50.0,0,Label Data,Average label information for commercial products available in 2012
F003574,13605,74668,doughnut,round,regular,all brands,63.0,0,Label Data,Average of label information for commercial products available in 2012
F005877,13304,74669,muffin,medium,uniced,,163.0,0,Analysed,Manual weighing of medium/regular commercial muffins by FSANZ in 2011.
F005882,13304,74670,muffin,medium,uniced,,163.0,0,Imputed,Imputed from berry muffin
F006700,13602,74671,pikelet,,,,25.0,0,Label Data,"Based on product information available for Coles, Woolworths and Golden pikelets in February 2013"
F008173,13307,74672,scone,,,,65.0,0,Label Data,Based on product information available on the Bakers Delight website in 2011
F008172,13307,74673,scone,,,,85.0,0,Label Data,Based on product information available on the Bakers Delight website in 2016
F006143,12101,74674,sachet,dry/uncooked,,,34.0,0,Label Data,Based on product information available for common brands of oat sachets in 2011
F007164,12601,74675,sachet,cooked with liquid,,all brands,198.0,0,Estimated,Based on label information for the weight of oats to liquid with a weight change factor applied.
F004362,13505,74676,burger,made with a bread roll,,all takeaway shops,350.0,0,Analysed,Manual weighing of takeaway hamburgers by FSANZ in 2012.
F006055,12402,74677,packet - sachet,uncooked,,,79.0,0,Analysed,Manually weighed by FSANZ in 2011
F006053,12402,74679,packet - sachet,cooked,drained,,145.0,0,Analysed,Weighed  by FSANZ in 2011 after preparing according to label instructions
F006054,12402,74680,packet - sachet,cooked,undrained,,385.0,0,Analysed,Weighed  by FSANZ in 2011 after preparing according to label instructions
F008737,13509,74682,can,individual serve,,,220.0,0,Label Data,Based on product information available for common brands in April 2013
F008738,13509,74683,can,individual serve,,,220.0,0,Imputed,Imputed from regular variety
F003305,13401,74684,croissant,regular,,,67.0,0,Imputed,"From AUSNUT 2007 02E40059 Croissant, plain"
F006493,13405,74686,pastry,"regular, individual size",,,140.0,0,Label Data,Average of product information available for Borgs & Herbert Adams in 2013
F006493,13405,74685,pastry,mini/party size,,,31.0,0,Label Data,Average of product information available for Borgs & Herbert Adams in 2013
F006665,13405,74688,pie,"regular, individual size",,all brands,175.0,0,Label Data,Average of commonly available commercial meat pies in 2011
F006665,13405,74687,pie,mini/party size,,all brands,38.0,0,Label Data,Average of commonly available commercial meat pies available in 2011
F006667,13405,74690,pie,"regular, individual size",,all brands,175.0,0,Imputed,"From 02E60292 Pie, savoury, meat, commercial"
F006667,13405,74689,pie,mini/party size,,all brands,38.0,0,Imputed,"From 02E60292 Pie, savoury, meat, commercial"
F008098,13405,74692,sausage roll,"regular, individual size",,all brands,130.0,0,Label Data,Average of commercial brands commonly available in 2012.
F008098,13405,74691,sausage roll,mini/party size,,all brands,40.0,0,Label Data,Average of commercial brands commonly available in 2012.
F008101,13405,74693,sausage roll,mini/party size,,all brands,40.0,0,Label Data,Average of commercial brands commonly available in 2012.
F008101,13405,74694,sausage roll,"regular, individual size",,all brands,130.0,0,Label Data,Average of commercial brands commonly available in 2012.
F008794,13406,74695,roll,mini/party size,,,30.0,0,Label Data,"Based on product information available for Coles, Ho Mai & Colonial Farm in 2012."
F008794,13406,74696,roll,regular,,,70.0,0,Estimated,Based on a range of measures from AUSNUT 1999 and AUSNUT 2007
F006679,13402,74697,pie,"regular, individual size",,all brands,125.0,0,Label Data,Based on product information for Sara Lee individual apple pies available in 2012
F009102,13403,74698,tart,"regular, individual size",,all brands,135.0,0,Imputed,Based on the size of sweet tarts and pies published in AUSNUT 2007
F008065,23103,74699,plastic fish,,,,3.0,0,Label Data,Based on product information available for fish shaped soy sauce packets
F008083,23104,74700,packet/sachet,single serve,squeeze-on,,14.0,0,Label Data,Based on product information available in 2012.
F008085,23104,74701,packet/sachet,single serve,squeeze-on,,14.0,0,Imputed,"From 10A10444, Sauce, tomato, commercial, regular"
F002414,19401,74702,slice,sandwich size,,,21.0,0,Label Data,Mean of three slices of pre-sliced cheddar cheese available in 2012
F002413,19402,74703,slice,sandwich size,,,21.0,0,Label Data,Mean of three slices of pre-sliced cheddar cheese available in 2012
F002412,19402,74704,slice,sandwich size,,,21.0,0,Label Data,Mean of three slices of pre-sliced cheddar cheese available in 2012
F002428,19406,74705,slice,sandwich size,,all brands,21.0,0,Label Data,Mean of three slices of pre-sliced cheddar cheese available in 2012
F002425,19407,74706,slice,sandwich size,,all brands,21.0,0,Label Data,Mean of three slices of pre-sliced cheddar cheese available in 2012
F002444,19403,74707,tub,small/individual,,,40.0,0,Label Data,Kraft individual cream cheese tubs available in 2012.
F004508,19501,74708,cup/tub,individual serve,,,127.0,0,Estimated,"Average of Skinny Cow, Weight Watchers, Bulla, Connoisseur & Billabong individual serve products available in 2013"
F003488,19701,74709,tub/container,individual tub from a 6 pack,,,150.0,0,Label Data,Based on product information available in 2012
F009694,19201,74710,tub/container,individual tub from a 6 pack,,,200.0,0,Estimated,Assumes same as other 6 packs of full fat yoghurt
F009741,19205,74711,tub/container,individual tub from a 12 pack,,,100.0,0,Label Data,"Coles, Ski divine, Brooklea product information"
F009741,19205,74712,tub/container,individual tub from a 6 pack,,,200.0,0,Label Data,"Brooklea indulge, Coles, Ski Divine product information"
F009749,19205,74713,tub/container,individual tub from a 6 pack,,,175.0,0,Label Data,Yoplait original product information
F009749,19205,74714,tub/container,individual tub from a twin pack,,,200.0,0,Label Data,Ski divine product information
F008155,20601,74715,sausage,long and thin,,,72.0,0,Imputed,"From AUSNUT 2007 08G10020 Sausage, vegetarian style, fried, unspecified oil"
F008151,20601,74716,sausage,long and thin,,,72.0,0,Imputed,"From AUSNUT 2007 08G10020 Sausage, vegetarian style, fried, unspecified oil"
F008153,20601,74717,fillet,plain or crumbed,,,100.0,0,Label Data,Based on product information available for Quorn label data fro plain & crumbed fillets in 2012
F009739,20502,74718,tub/container,individual tub from a twin pack,,,175.0,0,Label Data,Soy life product information
F001973,14101,74719,packet/sachet,Individual serve,,,7.0,0,Label Data,Size of an individual serve packet of butter available in 2012.
F001971,14101,74720,packet/sachet,Individual serve,,,7.0,0,Label Data,Size of an individual serve packet of butter available in 2012.
F005370,14301,74721,packet/sachet,individual serve,,,4.7,0,Label Data,Size of an individual serve packet of margarine available in 2012.
F005373,14301,74722,packet/sachet,individual serve,,,4.7,0,Label Data,Size of an individual serve packet of margarine available in 2012.
F005319,14306,74723,packet/sachet,individual serve,,,4.7,0,Label Data,Size of an individual serve packet of margarine available in 2012.
F005309,14303,74724,packet/sachet,individual serve,,,4.7,0,Label Data,Size of an individual serve packet of margarine available in 2012.
F005310,14303,74725,packet/sachet,individual serve,,,4.7,0,Label Data,Size of an individual serve packet of margarine available in 2012.
F005345,14304,74726,packet/sachet,individual serve,,,4.7,0,Label Data,Size of an individual serve packet of margarine available in 2012.
F003729,17101,74729,egg,regular,,,44.0,0,Industry,Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg
F003721,17101,74730,egg,regular,,,41.0,0,Industry,Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg
F003725,17101,74731,egg,regular,,,42.0,0,Estimated,Calculated based on the raw weight assuming -4% weight change factor
F003718,17101,74732,egg,regular,,,39.0,0,Estimated,Calculated from raw weight assuming -12% weight change factor
F003724,17102,74727,egg,regular,,,44.0,0,Industry,Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg
F003723,17102,74728,egg,regular,,,44.0,0,Industry,Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg
F000086,16101,74733,fruit,medium,,,164.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000091,16101,74734,fruit,medium,,,164.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000092,16101,74735,fruit,medium,,,151.0,0,Analysed,FSANZ 2011. Student research project. Average size of medium Granny smith and Golden Delicious varieties. Edible portion of 91%.
F000095,16101,74736,fruit,medium,,,153.0,0,Analysed,FSANZ 2011. Student research project. Average size of medium Granny smith and Golden Delicious varieties. Edible portion of 91%.
F000099,16101,74737,fruit,medium,,,162.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000105,16101,74738,fruit,medium,,,164.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000107,16101,74739,fruit,medium,,,164.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000111,16101,74740,fruit,medium,,,164.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000110,16101,74741,fruit,medium,,,164.0,0,Analysed,"FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
F000134,16403,74742,fruit,medium,,,20.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011.
F000262,16501,74744,fruit,medium,,,98.0,0,Analysed,FSANZ 2011. Student research project. Assumes edible portion 65%.
F000267,16501,74745,fruit,medium,,,78.0,0,Estimated,Assumes mid-point between small and large. Assumes 67% edible portion.
F003423,16504,74746,fruit,regular,,,468.0,0,Estimated,Based on average size of 650 g from Custard Apples Australia Inc. and assuming 72% edible portion.
F003496,16802,74747,fruit,regular,,,5.0,0,Imputed,"From AUSNUT 2007 record 06C10144 Date, dried"
F003818,16504,74748,fruit,,,,30.0,0,Borrowed,"From the New Zealand Food Files 2009 record L67, in 2012."
F003832,16802,74749,fruit,regular,,,19.0,0,Imputed,"From AUSNUT 2007 record 06D10304 Fig, dried"
F003834,16503,74750,fruit,regular,,,50.0,0,Imputed,"From AUSNUT 2007 record 06D10303 Fig, unpeeled, raw"
F004262,16303,74751,fruit,medium,,,258.0,0,Estimated,Assumes the mid-point between small and large. Assumes 69% edible portion.
F004286,16504,74752,fruit,medium,,,90.0,0,Imputed,"From AUSNUT 2007 record 06D10311 Guava, raw"
F004594,16504,74753,fruit,medium,,,805.0,0,Imputed,"From NUTTAB 2010 record 06D10416 Jackfruit, raw"
F004816,16601,74754,fruit,medium,,,78.0,0,Imputed,"From AUSNUT 2007 record 06D101313 Kiwifruit, hayward, peeled, raw"
F004815,16601,74755,fruit,medium,,,78.0,0,Imputed,"From AUSNUT 2007 record 06D101313 Kiwifruit, hayward, peeled, raw"
F005174,16302,74756,fruit,medium,,,99.0,0,Imputed,"From AUSNUT 2007 record 06B10044 Lemon, peeled, raw"
F005199,16302,74757,fruit,medium,,,49.0,0,Imputed,"From AUSNUT 2007 record 06B10046 Lime, peeled, raw"
F005244,16105,74758,fruit,medium,,,13.0,0,Imputed,"From NUTTAB 2010 record 06D10407 Loquat, peeled, raw"
F005255,16504,74759,fruit,medium,,,10.0,0,Imputed,"From NUTTAB 2010 record 06D10408 Lychee, peeled, raw"
F005293,16303,74760,fruit,medium,,,75.0,0,Analysed,Supermarket search undertaken by FSANZ in 2011. Assumes 76% edible portion.
F005299,16504,74761,fruit,medium,,all varieties except R2E2,294.0,0,Analysed,FSANZ 2011. Supermarket search. Assumes 68% edible portion.
F006021,16401,74762,fruit,medium,,,151.0,0,Imputed,"From AUSNUT 1999 record 06C10059 Nectarine, raw"
F006277,16301,74763,fruit,medium,,,131.0,0,Imputed,"From AUSNUT 1999 record 06B10016 orange, medium, 6-8cm diameter"
F006276,16301,74764,fruit,medium,,,162.0,0,Analysed,Manually weighed by FSANZ in 2011. Note - AUSNUT value was 131.00
F006279,16301,74765,fruit,medium,,,131.0,0,Imputed,"From AUSNUT2007 record 06B10056  Orange, valencia, peeled, raw"
F006333,16504,74766,fruit,medium,,,18.0,0,Imputed,From AUSNUT 2007 record 06D10321 Passionfruit
F006573,16401,74767,fruit,medium,,,145.0,0,Imputed,"From AUSNUT 2007 record 06C10146 Peach, fresh, unpeeled, raw"
F006604,16103,74768,fruit,medium,,,190.0,0,Imputed,"From NUTTAB 2010 record 06D10447 Pear, nashi, unpeeled, raw"
F006628,16503,74769,fruit,medium,,,76.0,0,Imputed,"From NUTTAB 2010 record 06D10410 Persimmon, peeled, raw"
F006708,16505,74770,slice,,,,40.0,0,Imputed,"AUSNUT 2007 record 06D10330 pineapple, canned, drained"
F006832,16403,74771,fruit,medium,,,66.0,0,Imputed,"From AUSNUT 2007 record 06C10158 unpeeled, raw, not further specified"
F006826,16404,74772,fruit,all sizes,,,31.0,0,Imputed,"AUSNUT 2007 record 06C10155 Plum, dark, canned in syrup, drained"
F006842,16504,74773,fruit,all sizes,,,240.0,0,Imputed,"From AUSNUT 2007 record 06D10332 Pomegranate, peeled, raw"
F007457,16504,74774,fruit,medium,,,86.0,0,Imputed,"From NUTTAB 2010 record 06D10417 Prickly pear, peeled, raw"
F007494,16802,74775,fruit,medium,,,8.0,0,Imputed,From AUSNUT 2007 record 06C10157 Prune (dried plum)
F007591,16105,74776,fruit,small/medium,,,463.0,0,Imputed,"From NUTTAB 2010 record 06D10449 Quince, peeled, raw"
F007610,16801,74777,box,mini/snack size,,,40.0,0,Imputed,From 06D10519 Sultana
F007612,16504,74778,fruit,medium,,,16.0,0,Imputed,"From NUTTAB 2010 record 06D10409 Rambutan, peeled, raw"
F008952,16201,74779,fruit,medium,,,12.0,0,Industry,Victorian Strawberry Growers 2006
F008983,16801,74780,box,mini/snack size,,,40.0,0,Label Data,Based on product information available in 2011
F009080,16503,74781,fruit,all sizes,,,71.0,0,Imputed,"From NUTTAB 2010 record 06D10412 Tamarillo, peeled, raw"
F009087,16303,74782,fruit,small/medium,,,115.0,0,Imputed,"From AUSNUT 2007 record 06B10049 Mandarin (tangelo), peeled, raw"
F009088,16303,74783,fruit,small/medium,,,86.0,0,Imputed,"From AUSNUT 2007 record 06B10048 Mandarin (tangor), peeled, raw"
F006830,16804,74784,plum,medium,,,1.6,0,Analysed,Manual weighing by FSANZ in 2012
F002755,18903,74785,nugget,,,,20.0,0,Label Data,Average weight of 4 brands commonly purchased from supermarkets
F002752,18903,74786,nugget,,,all brands,18.0,0,Label Data,Average of KFC and hungry jacks chicken nuggets
F002752,18903,74787,strip,,,,38.0,0,Label Data,Based on product information available for KFC chicken strips in 2013
F002751,18903,74788,tender,,,all brands,40.0,0,Label Data,Based on product information available on the Oporto's website for chicken tenders
F000228,18601,74789,rasher,,,,64.0,0,Analysed,Manual weighing by FSANZ in 2012
F000227,18601,74790,rasher,,,,42.0,0,Analysed,Manual weighing by FSANZ in 2012
F000231,18601,74791,rasher,,,,22.0,0,Analysed,Manual weighing by FSANZ in 2012
F001322,18606,74792,can,,,,425.0,0,Label Data,Based on products available in 2017
F004025,18502,74793,frankfurt,cocktail size,,,25.0,0,Estimated,Based on ~20 frankfurts/500 g pack of Black & Gold cocktail franks available in 2013
F004025,18502,74794,frankfurt,long and thin,,,57.0,0,Imputed,"From AUSNUT 2007 record 08E20083 Frankfurt, cooked"
F004299,18602,74795,slice,regular,,,25.0,0,Analysed,Manually weighed by FSANZ in 2013. Included a deli sliced ham (not shaved)
F006675,13405,74796,can,,,,425.0,0,Label Data,Based on products available in 2017
F007459,18602,74797,slice,regular/thin/shaved,,,17.4,0,Analysed,Collected as part of the NATSINPAS analytical program.
F008112,18501,74798,sausage,long and thin,,,86.0,0,Analysed,"Meat & Livestock Australia, 2015"
F008106,18501,74799,sausage,long and thin,,,79.0,0,Estimated,"Meat & Livestock Australia, 2015"
F008107,18501,74800,sausage,long and thin,,,77.0,0,Estimated,"Meat & Livestock Australia, 2015"
F008126,18603,74801,sausage,,,,147.0,0,Estimated,Based on 8 chorizo samples purchased for analysis in 2013.
F008125,18603,74802,sausage,,,,123.0,0,Estimated,Calculated from raw weight assuming -10.6% weight change factor based on data for beef sausages from MLA (2015)
F009450,18606,74803,can,,,,425.0,0,Label Data,Based on products available in 2017
F009452,18606,74804,can,,,,425.0,0,Label Data,Based on products available in 2017
F008233,15501,74805,fillet,medium,,,67.0,0,Estimated,Based on the size of frozen fish fillets available in May 2013 with a weight change factor applied.
F003950,15501,74806,fillet,medium,,,67.0,0,Estimated,Based on the size of frozen fish fillets available in May 2013 with a weight change factor applied
F003954,15501,74807,fillet,medium,,,67.0,0,Estimated,Based on the size of frozen fish fillets available in May 2013 with a weight change factor applied
F003907,15501,74808,fillet,medium,,,250.0,0,Analysed,Manually weighed by FSANZ in June 2012
F003897,15501,74809,fish finger,,,,27.0,0,Analysed,Manually weighed by FSANZ in 2013.
F003896,15501,74810,fish finger,,,,20.0,0,Estimated,Calculated from raw weight assuming -12% weight change factor
F007864,15102,74811,slice,,,,25.0,0,Analysed,"Average of slices within commercial packages of various sizes (20 g per slice for small packs Huon & Ocean blue; 25 g for Coles' large pack, 41 g for Tassel 500 g pack, 25 g average for 200 g pack)"
F009285,15401,74812,can,individual serve,drained,,70.0,0,Label Data,Average of various brands calculated by FSANZ in 2013
F007193,26101,74813,bag or packet,single serve,,all brands,50.0,0,Label Data,Average of 2 common brands available in 2011 (Smiths and Thins)
F007193,26101,74814,bag or packet,single serve from a multipack,,all brands,21.0,0,Label Data,"Average of 5 common brands available in 2011 (Kettle, Red Rock Deli, Smiths, Thins, Woolworths)"
F007201,26101,74815,bag or packet,single serve,,all brands,45.0,0,Label Data,Average of 2 common brands available in 2011 (Smiths and Thins)
F007201,26101,74816,bag or packet,single serve from a multipack,,all brands,18.5,0,Label Data,"Average of 4 common brands available in 2011 (Kettle, Smiths, Thins, Woolworths)"
F007204,26101,74817,packet/bag,single serve from multipack,,all brands,18.5,0,Label Data,Based on product information available for French Fries in 2013
F009073,26201,74818,taco shell,regular,,,11.0,0,Label Data,Based on product information available for Old El Paso website in May 2012.
F000279,28102,74819,bar,regular,,,55.0,0,Label Data,Based on product information available on the Cadbury for Cherry ripe bars in 2018.
F000285,28102,74820,bar,regular,,,45.0,0,Label Data,Based on product information available on the Mars website on Bounty bars in 2018.
F000296,28103,74821,bar,regular,,,50.0,0,Label Data,Based on product information available on the Cadbury website for Crunchy bars in 2018.
F000348,28103,74822,bar,regular,,,53.0,0,Label Data,Based on product information available on the Mars website for Mars bars in 2018.
F002929,28101,74824,bar,"regular, individual",,,50.0,0,Label Data,Based on product information available on the Woolworths website in 2018
